date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:02	119035/119035	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34cc-1d0fb%22	https://html.rovadex.com/html-quadex/img/img-4.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/img-4.jpg	(from https://html.rovadex.com/html-quadex/services.html)
12:14:03	67665/67665	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34ae-10851%22	https://html.rovadex.com/html-quadex/img/blog-img-2.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/blog-img-2.jpg	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:03	229823/229823	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34ad-381bf%22	https://html.rovadex.com/html-quadex/img/blog-img-1.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/blog-img-1.jpg	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:03	5438/5438	---M--	200	added ('OK')	image/png	etag:%225e7e34d7-153e%22	https://html.rovadex.com/html-quadex/img/suport-img.png	D:/Drone/Drone/html.rovadex.com/html-quadex/img/suport-img.png	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:03	62047/62047	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34a9-f25f%22	https://html.rovadex.com/html-quadex/img/bg-3.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/bg-3.jpg	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:03	37303/37303	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d6-91b7%22	https://html.rovadex.com/html-quadex/img/prod-shop-7.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-shop-7.jpg	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:04	21322/21322	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d7-534a%22	https://html.rovadex.com/html-quadex/img/prod-shop-8.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-shop-8.jpg	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:04	15192/15192	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d6-3b58%22	https://html.rovadex.com/html-quadex/img/prod-shop-6.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-shop-6.jpg	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:04	17116/17116	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d5-42dc%22	https://html.rovadex.com/html-quadex/img/prod-shop-5.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-shop-5.jpg	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:05	69058/69058	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d1-10dc2%22	https://html.rovadex.com/html-quadex/img/prod-4.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-4.jpg	(from https://html.rovadex.com/html-quadex/blog.html)
12:14:05	43111/43111	---M--	200	added ('OK')	image/png	etag:%225e7e34b7-a867%22	https://html.rovadex.com/html-quadex/img/drone-1.png	D:/Drone/Drone/html.rovadex.com/html-quadex/img/drone-1.png	(from https://html.rovadex.com/html-quadex/404.html)
12:14:05	260915/260915	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34ac-3fb33%22	https://html.rovadex.com/html-quadex/img/bg-error.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/bg-error.jpg	(from https://html.rovadex.com/html-quadex/404.html)
12:14:06	47439/47439	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d0-b94f%22	https://html.rovadex.com/html-quadex/img/prod-1.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-1.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:06	37135/37135	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d0-910f%22	https://html.rovadex.com/html-quadex/img/prod-2.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-2.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:06	66741/66741	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d1-104b5%22	https://html.rovadex.com/html-quadex/img/prod-3.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-3.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:06	38299/38299	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d2-959b%22	https://html.rovadex.com/html-quadex/img/prod-5.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-5.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:06	42402/42402	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34a6-a5a2%22	https://html.rovadex.com/html-quadex/img/banner-1.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/banner-1.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:07	71062/71062	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34a7-11596%22	https://html.rovadex.com/html-quadex/img/banner-2.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/banner-2.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:07	27346/27346	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d3-6ad2%22	https://html.rovadex.com/html-quadex/img/prod-shop-1.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-shop-1.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
